model,split,target_bin,target,ablation,n,rmse,mae,r2,spearman,accuracy,f1_macro
TASK_DECODER_NO_EARLY_HISTORY,test,a32_33,emp,no_history,252,,,,,0.8253968253968254,0.45217391304347826
TASK_DECODER_NO_EARLY_HISTORY,test,a32_33,mar,no_history,252,,,,,0.7063492063492064,0.2652408163265306
TASK_DECODER_NO_EARLY_HISTORY,test,a34_35,earn,no_history,256,1.137063619727686,0.8367359638214111,0.17850691080093384,0.45570096442386127,,
TASK_DECODER_NO_EARLY_HISTORY,test,a34_35,emp,no_history,256,,,,,0.7890625,0.4410480349344978
TASK_DECODER_NO_EARLY_HISTORY,test,a34_35,mar,no_history,256,,,,,0.703125,0.2657258064516129
TASK_DECODER_NO_EARLY_HISTORY,test,a36_37,earn,no_history,251,1.213814007675219,0.8923088908195496,0.13677042722702026,0.4258830508869994,,
TASK_DECODER_NO_EARLY_HISTORY,test,a36_37,emp,no_history,252,,,,,0.8452380952380952,0.45806451612903226
TASK_DECODER_NO_EARLY_HISTORY,test,a36_37,mar,no_history,252,,,,,0.7063492063492064,0.337037037037037
TASK_DECODER_NO_EARLY_HISTORY,test,a38_39,earn,no_history,253,1.2165192950278967,0.9058214426040649,0.12559616565704346,0.4027896363263144,,
TASK_DECODER_NO_EARLY_HISTORY,test,a38_39,emp,no_history,252,,,,,0.8214285714285714,0.45098039215686275
TASK_DECODER_NO_EARLY_HISTORY,test,a38_39,mar,no_history,253,,,,,0.7193675889328063,0.27795423130087543
TASK_DECODER_NO_EARLY_HISTORY,test,a40_41,earn,no_history,254,1.3440438326346629,1.0063575506210327,0.10623174905776978,0.38917033007493285,,
TASK_DECODER_NO_EARLY_HISTORY,test,a40_41,emp,no_history,254,,,,,0.8110236220472441,0.44782608695652176
TASK_DECODER_NO_EARLY_HISTORY,test,a40_41,mar,no_history,254,,,,,0.7125984251968503,0.2775873521987512
TASK_DECODER_NO_EARLY_HISTORY,test,a42_43,earn,no_history,258,1.3097632349244475,0.976782500743866,0.12549978494644165,0.4129352647637469,,
TASK_DECODER_NO_EARLY_HISTORY,test,a42_43,emp,no_history,258,,,,,0.810077519379845,0.4475374732334047
TASK_DECODER_NO_EARLY_HISTORY,test,a42_43,mar,no_history,258,,,,,0.7093023255813954,0.2768854961832061
TASK_DECODER_NO_EARLY_HISTORY,test,a44_45,earn,no_history,251,1.248095396528426,0.9336674809455872,0.10489708185195923,0.38099321183283424,,
TASK_DECODER_NO_EARLY_HISTORY,test,a44_45,emp,no_history,251,,,,,0.8446215139442231,0.45788336933045354
TASK_DECODER_NO_EARLY_HISTORY,test,a44_45,mar,no_history,251,,,,,0.7091633466135459,0.2783429098389728
