ID,YEAR,DEMO_SEX,DEMO_BIRTH_YEAR,DEMO_AGE_GEN,EDU_LEVEL,FAM_SIZE,FAM_SIZE_CHI,FAM_PARSTAT,FAM_MARSTAT,GEO_REGION,GEO_METRO,CGEO_REGION,RACE_ETH_MAJ_COL,EMP_WORK,OCC_1970C,OCC_2000C_1M,OCC_2010C_1M,HOME_STAT,REL_PAR_BF_ID,REL_PAR_BM_ID,OCC_ANY,OCC_SCHEME,father_share_married,father_share_divorc,father_EDU_MAX,father_obs_cnt,mother_share_married,mother_share_divorc,mother_EDU_MAX,mother_obs_cnt,PAR_BOTH_MISS,EARN_TOT_RDF,FINC_TOT_RDF,WLTH_TOT_NET_RDF,WLTH_HOME_NET_RDF,WLTH_SAVI_NET_RDF,WLTH_INVE_NET_RDF,WLTH_ODEB_NET_RDF,father_EARN_mean,father_EARN_sd,father_FINC_mean,mother_EARN_mean,mother_EARN_sd,mother_FINC_mean,COHORT_BIN,split
319172,2007,1,1965,42,2,3,1,1,1,2,,2,1,1,,700,,1,,319924,700,2,,,,,,,,,1,3.823229516880949,4.041250328499797,1.781622378125256,2.026301753426047,1.117799897926868,0,2.308141820048681,,,,,,,1,val
319172,2009,1,1965,44,2,3,1,1,1,2,,2,1,1,,714,,1,,319924,714,2,,,,,,,,,1,3.608249296214011,3.849640477608494,2.106130714020585,1.436817218490466,.956911161075745,0,0,,,,,,,1,val
320170,1985,2,1961,24,2,3,1,1,1,2,,2,1,0,,,,1,320906,320907,,,,,,,,,,,1,1.664281153973112,3.504017030553943,,,,,,,,,,,,0,test
320170,1986,2,1961,25,2,3,1,1,1,2,,2,1,0,,,,1,320906,320907,,,,,,,,,,,1,0,3.779908074139122,,,,,,,,,,,,0,test
320170,1987,2,1961,26,2,3,1,1,1,2,,2,1,0,,,,2,320906,320907,,,,,,,,,,,1,0,3.405930502225326,,,,,,,,,,,,0,test
320170,1988,2,1961,27,2,3,1,1,1,2,,2,1,0,,,,2,320906,320907,,,,,,,,,,,1,0,4.339525042234742,,,,,,,,,,,,0,test
320170,1989,2,1961,28,2,3,1,1,1,2,,2,1,0,,,,2,320906,320907,,,,,,,,,,,1,0,3.847446151034579,-2.914094770907081,0,2.394362784152216,0,3.469752354929819,,,,,,,0,test
320170,1990,2,1961,29,2,3,1,1,1,2,,2,1,0,,,,1,320906,320907,,,,,,,,,,,1,0,3.470914329890245,,,,,,,,,,,,0,test
320170,1991,2,1961,30,2,3,1,1,1,4,,2,1,0,,,,2,320906,320907,,,,,,,,,,,1,0,3.870117410881718,,,,,,,,,,,,0,test
320170,1992,2,1961,31,2,3,1,1,1,4,,2,1,0,,,,2,320906,320907,,,,,,,,,,,1,0,3.619283007549613,,,,,,,,,,,,0,test
