ID,YEAR,DEMO_BIRTH_YEAR,DEMO_AGE_GEN,DEMO_SEX,RACE_ETH_MAJ_COL,CGEO_REGION,REL_PAR_BF_ID,REL_PAR_BM_ID,EARN_TOT_RDF,FINC_TOT_RDF,WLTH_TOT_NET_RDF,WLTH_HOME_NET_RDF,WLTH_SAVI_NET_RDF,WLTH_INVE_NET_RDF,WLTH_ODEB_NET_RDF,EMP_WORK,EDU_LEVEL,FAM_PARSTAT,FAM_MARSTAT,FAM_SIZE,FAM_SIZE_CHI,HOME_STAT,GEO_REGION,GEO_METRO,OCC_1970C,OCC_2000C_1M,OCC_2010C_1M,OCC_ANY,OCC_SCHEME,father_EARN_mean,father_FINC_mean,father_share_married,father_share_divorc,father_EARN_sd,father_EDU_MAX,father_obs_cnt,mother_EARN_mean,mother_FINC_mean,mother_share_married,mother_share_divorc,mother_EARN_sd,mother_EDU_MAX,mother_obs_cnt,PAR_BOTH_MISS,COHORT_BIN,split
1200030,2013,1974,39,2,1,2,1200005,1200171,3.179799091225911,4.381138899281756,4.224902976240971,1.6986162611429503,0.9117977356232903,1.282429180900863,2.937335517887588,1,4,1,1,3,1,1,2,,,220,,220,2.0,3.921512736963997,4.13313800247307,1.0,0.0,2.283637632175346,2.0,9.0,2.4082564494411463,4.13313800247307,1.0,0.0,2.1362705542097453,1.0,9.0,0,2,train
1200030,2015,1974,41,2,1,2,1200005,1200171,2.601211737102476,4.243312420474455,5.790224979895748,2.484213349610482,2.0274914485836137,5.215993466262032,3.1661560587239954,0,4,1,1,3,1,1,2,1,,220,,220,2.0,3.921512736963997,4.13313800247307,1.0,0.0,2.283637632175346,2.0,9.0,2.4082564494411463,4.13313800247307,1.0,0.0,2.1362705542097453,1.0,9.0,0,2,train
1200030,2017,1974,43,2,1,2,1200005,1200171,3.2729912770772063,5.397316543398967,6.12224071622532,2.8563942096400488,2.7252166605241754,4.176979888679724,0.0,0,4,1,1,3,1,1,2,1,,,310,310,3.0,3.921512736963997,4.13313800247307,1.0,0.0,2.283637632175346,2.0,9.0,2.4082564494411463,4.13313800247307,1.0,0.0,2.1362705542097453,1.0,9.0,0,2,train
1200030,2019,1974,45,2,1,2,1200005,1200171,2.953128107477113,5.397316543398967,7.110076640133123,3.8962447105605866,4.768404344962156,2.2980384795205913,0.0,1,4,1,1,3,1,1,2,1,,,310,310,3.0,3.921512736963997,4.13313800247307,1.0,0.0,2.283637632175346,2.0,9.0,2.4082564494411463,4.13313800247307,1.0,0.0,2.1362705542097453,1.0,9.0,0,2,train
1203174,2001,1975,26,2,1,3,1203911,1203912,3.465357670682502,4.886829190762652,3.111433135249376,0.0,1.621112198118657,0.0,0.0,1,,1,5,2,0,2,3,,321,,,321,1.0,,,,,,,,,,,,,,,1,2,val
1203174,2003,1975,28,2,1,3,1203911,1203912,0.0,5.131206034533643,4.132414377923564,2.960450098282233,3.524947392795331,0.0,2.0024701710558155,0,,1,1,3,1,1,3,,,,,,,,,,,,,,,,,,,,,1,2,val
1203174,2005,1975,30,2,1,3,1203911,1203912,3.324850801388989,4.969159433262203,6.80669035602056,4.523478271433062,2.910336041286195,1.6753646061357435,0.0,1,,1,1,3,1,1,3,,,570,,570,2.0,,,,,,,,,,,,,,,1,2,val
1203174,2007,1975,32,2,1,3,1203911,1203912,3.1696036056053236,5.397316543398967,5.291188958948295,4.543581568567444,2.860195957397988,4.098897786447057,0.0,1,,1,1,3,1,1,3,,,500,,500,2.0,,,,,,,,,,,,,,,1,2,val
1203174,2009,1975,34,2,1,3,1203911,1203912,3.218378404684454,5.397316543398967,5.371038792550862,3.4231993364673756,4.39669466242243,3.7157902205620936,0.0,1,2,1,1,3,1,1,3,,,570,,570,2.0,,,,,,,,,,,,,,,1,2,val
1203174,2011,1975,36,2,1,3,1203911,1203912,3.3523545961753403,5.357090182567735,5.915585472796873,5.1417776678491505,4.134559857222893,4.8196699718510265,0.0,1,2,1,1,3,1,1,3,,,570,,570,2.0,,,,,,,,,,,,,,,1,2,val
1203174,2013,1975,38,2,1,3,1203911,1203912,2.777839585855665,5.3216069986558745,6.416976379456282,5.44571473401899,4.768404344962156,4.87725140847285,0.0,1,2,1,1,3,1,1,3,,,12,,12,2.0,,,,,,,,,,,,,,,1,2,val
1203174,2015,1975,40,2,1,3,1203911,1203912,3.6099567170522096,3.7160170004757025,7.110076640133123,5.475746990534634,4.768404344962156,5.763002392886521,0.0,1,2,2,2,2,1,1,3,1,,12,,12,2.0,,,,,,,,,,,,,,,1,2,val
1203174,2017,1975,42,2,1,3,1203911,1203912,3.6458614136516574,3.6458614136516574,6.327694961827532,5.572031512982139,2.2754460700842056,0.0,0.0,1,2,3,3,2,1,1,3,1,,,4920,4920,3.0,,,,,,,,,,,,,,,1,2,val
1203174,2019,1975,44,2,1,3,1203911,1203912,3.2835892072582187,4.470801999216394,6.026776271645859,5.537680587113556,3.548037520820693,3.765408227985606,1.6521396768009615,1,2,3,3,2,1,1,3,1,,,220,220,3.0,,,,,,,,,,,,,,,1,2,val
1211003,1988,1962,26,1,1,1,1211001,1211002,4.278411180445812,4.8147034035755985,,,,,,1,2,1,1,2,0,1,1,,245,,,245,1.0,3.2315340034161086,3.457506254198823,0.4444444444444444,0.0,0.8002764471402963,1.0,9.0,1.8182906222925541,3.457506254198823,0.4444444444444444,0.0,1.8901579496203076,1.0,9.0,0,0,val
1211003,1989,1962,27,1,1,1,1211001,1211002,4.217249179683936,4.816662834014463,3.5515857017853976,3.883207291439921,0.013631601197717764,0.0,2.9601006114736492,1,2,1,1,2,0,1,1,,245,,,245,1.0,3.2315340034161086,3.457506254198823,0.4444444444444444,0.0,0.8002764471402963,1.0,9.0,1.8182906222925541,3.457506254198823,0.4444444444444444,0.0,1.8901579496203076,1.0,9.0,0,0,val
1211003,1990,1962,28,1,1,1,1211001,1211002,4.260489729285624,4.822049495715754,,,,,,1,2,1,1,2,0,1,1,,245,,,245,1.0,3.2315340034161086,3.457506254198823,0.4444444444444444,0.0,0.8002764471402963,1.0,9.0,1.8182906222925541,3.457506254198823,0.4444444444444444,0.0,1.8901579496203076,1.0,9.0,0,0,val
1211003,1991,1962,29,1,1,1,1211001,1211002,4.189778177881094,4.786772980361058,,,,,,1,2,1,1,2,0,1,1,,245,,,245,1.0,3.2315340034161086,3.457506254198823,0.4444444444444444,0.0,0.8002764471402963,1.0,9.0,1.8182906222925541,3.457506254198823,0.4444444444444444,0.0,1.8901579496203076,1.0,9.0,0,0,val
1211003,1992,1962,30,1,1,1,1211001,1211002,4.614682366630121,4.920635912042343,,,,,,1,2,3,3,1,0,3,1,,245,,,245,1.0,3.2315340034161086,3.457506254198823,0.4444444444444444,0.0,0.8002764471402963,1.0,9.0,1.8182906222925541,3.457506254198823,0.4444444444444444,0.0,1.8901579496203076,1.0,9.0,0,0,val
1211003,1993,1962,31,1,1,1,1211001,1211002,4.744165798873464,4.744165798873464,,,,,,1,2,3,3,1,0,3,1,,271,,,271,1.0,3.2315340034161086,3.457506254198823,0.4444444444444444,0.0,0.8002764471402963,1.0,9.0,1.8182906222925541,3.457506254198823,0.4444444444444444,0.0,1.8901579496203076,1.0,9.0,0,0,val
1211003,1994,1962,32,1,1,1,1211001,1211002,4.711254627118119,4.777318729560585,5.3549465347978975,0.0,2.8960822457973983,4.10353083974482,1.8845150068757213,1,2,3,3,1,0,3,1,,245,,,245,1.0,3.2315340034161086,3.457506254198823,0.4444444444444444,0.0,0.8002764471402963,1.0,9.0,1.8182906222925541,3.457506254198823,0.4444444444444444,0.0,1.8901579496203076,1.0,9.0,0,0,val
1211003,1995,1962,33,1,1,1,1211001,1211002,4.788417599140663,4.806094524209149,,,,,,1,2,3,3,1,0,3,1,,91,,,91,1.0,3.2315340034161086,3.457506254198823,0.4444444444444444,0.0,0.8002764471402963,1.0,9.0,1.8182906222925541,3.457506254198823,0.4444444444444444,0.0,1.8901579496203076,1.0,9.0,0,0,val
1211003,1996,1962,34,1,1,1,1211001,1211002,4.473577910843086,4.940676286840531,,,,,,1,2,1,1,2,0,2,1,,271,,,271,1.0,3.2315340034161086,3.457506254198823,0.4444444444444444,0.0,0.8002764471402963,1.0,9.0,1.8182906222925541,3.457506254198823,0.4444444444444444,0.0,1.8901579496203076,1.0,9.0,0,0,val
1211003,1997,1962,35,1,1,1,1211001,1211002,4.624482652117184,5.243905526662785,,,,,,1,2,1,1,2,0,2,1,,245,,,245,1.0,3.2315340034161086,3.457506254198823,0.4444444444444444,0.0,0.8002764471402963,1.0,9.0,1.8182906222925541,3.457506254198823,0.4444444444444444,0.0,1.8901579496203076,1.0,9.0,0,0,val
